Format :             2																																																
Data set :           Main Set - As Loaded																																																
Original data file : C:\Users\sm3658\Desktop\test.txt										459.2565683
"Created on :         Wednesday, April 22, 2020"																																																

Time (*)             	FX Time (*)          	Channel              	Parametric 1         	Risetime             	Counts to Peak       	Counts               	Energy               	Duration             	Amplitude            	ASL                  	Threshold            	Average Frequency    	RMS(16)              	Reverberation Frequency 	Initiation Frequency 	Signal Strength      	Absolute Energy      	Partial Power 1      	Partial Power 2      	Partial Power 3      	Partial Power 4      	Frequency Centroid   	Peak Frequency       	Duration (FX)        	Amplitude (FX)       	Counts to Peak (FX)  	Counts (FX)          	Energy (FX)          	Absolute Energy (FX) 	Signal Strength (FX) 	Amplitude mV (FX)    	Risetime (FX)        	Rise Angle (FX)      	Decay Angle (FX)     	Average Frequency (FX) 	Reverberation Frequency (FX) 	Initiation Frequency (FX) 	Zero Crossings (FX)  	Zero Crossings Frequency (FX) 	Non Dimentional Amplitude (FX) 	FFT Amplitude (FX)   	FFT Peak Frequency (FX) 	FFT Width @10% (FX)  	FFT Width @30% (FX)  	FFT Crossings @30% (FX) 	Frequency Centroid (FX) 	Peak Frequency (FX)  	Peak Power (FX)     
61.040613	61.0404715	2	0.39979246	289	13	70	59	1998	57	46	50	35	0.22583698	33	44	262464.69	5400.3203	70	15	15	0	291	156	685	57.403393	17	33	1.586786	2221.9189	99046.602	0.7415998	431.39999	0.09828499	0.16618644	48.175182	63.091484	39.406582	291	212.40875	5.1288571	20.712465	155.0293	393.06641	95.214844	5	299.41467	155.0293	52.139236
61.358617	61.358617	2	0.40437025	708	22	63	54	1990	57	46	50	32	0.22583698	31	31	241312.95	4780.3999	62	18	20	0	318	161	558.20001	51.418465	3	4	0.78786325	696.11688	49178.137	0.37232581	435	0.012895389	0.0455027	7.1658902	8.1168833	6.8965516	309	276.7825	4.2261109	14.490951	162.35352	419.92188	67.138672	6	330.18579	162.35352	49.036537
61.39823	61.39809	2	0.40345469	1026	21	58	57	1999	57	46	50	29	0.22583698	38	20	252122.16	5090.853	63	21	16	0	301	156	807	52.168301	8	10	1.444411	1526.6779	90159.609	0.40589619	721	0.012436031	0.1038902	12.391574	23.255814	11.0957	404	250.30978	3.6330926	11.617221	152.58789	443.11523	391.8457	20	304.32187	152.58789	47.116646
61.62877225	61.6286445	2	0.40681174	75	9	67	57	1985	57	46	50	34	0.22583698	30	120	252177.05	5214.8486	54	23	23	0	313	151	709.79999	53.328136	2	8	1.0438643	959.7923	65157.629	0.46388134	72.800003	0.20010644	0.023175376	11.270781	9.4191523	27.472527	385	271.20316	5.0533299	9.0944929	152.58789	477.29492	385.74219	22	354.25452	152.58789	44.99017
62.57503325	62.57490175	2	0.41108432	1978	83	86	61	1998	57	46	50	43	0.22583698	150	41	273276.94	6008.2837	68	14	18	0	298	156	799.40002	55.883869	25	28	1.6365976	2067.5325	102155.83	0.62257761	750.59998	0.040791351	0.56058592	35.026268	61.47541	33.306686	390	243.93295	4.8718567	15.807622	155.0293	418.70117	372.31445	14	327.64365	155.0293	49.791931
62.79042825	62.790278	2	0.41444135	685	12	31	45	1887	57	46	50	16	0.22583698	15	17	201592.8	3507.7473	68	13	19	0	306	151	757.40002	53.441681	7	9	1.2911723	1323.9186	80594.5	0.46998504	648.40002	0.023708895	0.14013711	11.882757	18.348623	10.795805	375	247.55743	4.4167614	12.325599	152.58789	478.51563	383.30078	15	367.33368	152.58789	47.63076
62.8902495	62.89010175	2	0.41810358	898	42	72	56	1987	57	46	50	36	0.22583698	27	46	247846.05	4985.4316	68	14	18	0	304	156	815.40002	54.502251	23	34	1.684082	2112.2175	105119.78	0.53102207	679	0.031623371	0.15619119	41.697327	80.645164	33.873344	381	233.62767	4.1190667	17.259222	155.0293	408.93555	306.39648	8	311.17593	155.0293	50.555027
63.244642	63.244518	2	0.41657767	1974	55	55	53	1978	57	46	50	28	0.22583698	0	27	235725.34	4623.7954	65	16	18	0	300	156	790.40002	55.580589	2	22	1.5226488	1864.2312	95043.188	0.60121465	35.200001	0.68058044	0.03771871	27.834007	26.483051	56.81818	419	265.05566	4.9998331	14.778362	155.0293	434.57031	391.8457	13	342.2529	155.0293	49.207127
63.36876775	63.36864875	2	0.41810358	1567	65	75	61	1981	57	46	50	38	0.22583698	24	41	271349.34	5811.9302	77	12	12	0	294	156	782.40002	53.881565	12	20	1.6191332	1950.5691	101065.7	0.49439985	540	0.032982867	0.073371388	25.562372	33.0033	22.222221	294	187.88344	3.8273957	22.480467	153.80859	400.39063	103.75977	4	306.86392	153.80859	52.850708
63.663083	63.662933	2	0.41962951	976	27	52	54	1969	57	46	50	26	0.22278512	25	27	239565.3	4635.5527	65	16	18	0	298	151	809.40002	54.197453	3	21	1.587402	1870.8923	99085.055	0.51271099	51.200001	0.36642519	0.025908628	25.945145	23.740438	58.59375	378	233.5063	4.1882024	14.265165	155.0293	439.45313	366.21094	12	323.42722	155.0293	48.900139
63.77236975	63.77228825	2	0.42207098	1359	28	40	50	1945	57	46	50	21	0.22583698	20	20	224467.8	4144.4844	65	23	12	0	291	151	729.59998	54.987621	14	18	1.4485865	1731.52	90420.242	0.5615406	534.59998	0.045855004	0.12514402	24.671053	20.512821	26.187803	320	219.29825	4.531065	13.436788	152.58789	419.92188	124.51172	10	301.33405	152.58789	48.380508
63.8240695	63.823985	2	0.42054507	1891	43	47	50	1953	57	46	50	24	0.22583698	64	22	222128.45	4133.8076	64	15	21	0	300	151	635.79999	54.401836	16	18	1.1809001	1373.5785	73711.359	0.52491838	438	0.047610249	0.10511698	28.310789	10.111223	36.529682	312	245.36018	4.5277023	16.250429	155.0293	434.57031	307.61719	6	322.09253	155.0293	50.031898
64.71202	64.71187	2	0.42878506	1651	48	79	59	1966	57	46	50	40	0.22278512	98	29	261574.09	5551.603	61	21	18	0	303	151	815.40002	53.719208	12	21	1.54423	1776.2297	96390.273	0.4852443	410	0.041200217	0.041667171	25.75423	22.200296	29.268293	405	248.34438	4.104856	16.060537	153.80859	438.23242	384.52148	15	332.03976	153.80859	49.929802
65.59759975	65.59746775	2	0.43275246	1407	47	83	59	1971	57	46	50	42	0.22583698	63	33	262571.44	5650.2129	52	22	25	0	307	151	786.20001	53.719208	2	19	1.5075411	1721.7091	94100.164	0.4852443	16.6	0.79440206	0.021958077	24.166878	22.089397	120.48193	399	253.75223	4.0541806	11.28364	155.0293	443.11523	380.85938	21	307.71762	155.0293	46.863586
65.60368525	65.60356125	2	0.43549913	427	16	72	56	1905	57	46	50	38	0.22583698	37	37	250340.95	5164.123	76	12	13	0	297	156	757	57.787941	18	29	1.6541207	2216.9768	103249.61	0.77517015	552	0.08295095	0.22024275	38.309116	53.658535	32.608696	349	230.5152	5.683351	28.663061	153.80859	400.39063	2.4414063	1	338.7923	153.80859	54.961052
65.83738325	65.83738325	2	0.43519396	846	20	54	54	1989	57	46	50	27	0.22888882	29	23	240669.41	4704.5688	63	18	19	0	301	156	668.40002	55.357292	11	14	1.2361683	1423.3838	77161.172	0.58595538	580.79999	0.046407361	0.29869616	20.945541	34.246574	18.939394	364	272.29205	5.0757732	12.596873	155.0293	446.77734	389.4043	19	310.90344	155.0293	47.819855
66.29155475	66.2914055	2	0.44038209	1835	49	60	54	1998	57	46	50	30	0.22583698	67	26	242057.16	4640.3945	47	17	35	0	314	151	805.40002	54.197453	11	29	1.7019571	2100.0056	106235.54	0.51271099	261	0.075139187	0.036076035	36.006954	33.063923	42.145596	426	264.46487	3.8869987	18.52846	152.58789	413.81836	357.66602	10	319.98709	152.58789	51.171387
66.410036	66.409887	2	0.43916136	1441	48	71	59	1990	57	46	50	36	0.22583698	41	33	264239.81	5584.7188	67	14	18	0	309	151	811.59998	53.0965	10	10	1.4103428	1482.0837	88033.086	0.45167395	811	0.016699579	1.5265273	12.321341	0	12.330456	423	260.59634	4.1641002	15.597569	153.80859	417.48047	297.85156	5	317.84448	153.80859	49.675739
